code,title,quantity,cost,type,period
61,Предметы одежды и принадлежности к одежде трикотажные машинного или ручного вязания,3622.44,77732,I,2015-10
62,"Предметы одежды и принадлежности к одежде, кроме трикотажных машинного или ручного вязания",2641.18,90451.5,I,2015-10
63,"Прочие готовые текстильные изделия; наборы; одежда и текстильные изделия, бывшие в употреблении; тряпье",20985.49,40080.7,I,2015-10
64,"Обувь, гетры и аналогичные изделия; их детали",9574.96,192187.7,I,2015-10
65,Головные уборы и их части,238.97,8373,I,2015-10
66,"Зонты, солнцезащитные зонты, трости, трости-сиденья, хлысты, кнуты для верховой езды и их части",293.06,1720.4,I,2015-10
67,Обработанные перья и пух и изделия из перьев или пуха; искусственные цветы; изделия из человеческого волоса,758.83,2837.5,I,2015-10
68,"Изделия из камня, гипса, цемента, асбеста, слюды или аналогичных материалов",232868.21,104932.1,I,2015-10
69,Керамические изделия,127391.47,68510.4,I,2015-10
70,Стекло и изделия из него,148761.2,96324.3,I,2015-10
72,Черные металлы,2329509.34,905607,I,2015-10
73,Изделия из черных металлов,373761.93,612148.8,I,2015-10
74,Медь и изделия из нее,23945.54,145784.5,I,2015-10
75,Никель и изделия из него,157.76,3647.1,I,2015-10
76,Алюминий и изделия из него,71556.37,227246.3,I,2015-10
78,Свинец и изделия из него,545.33,1391.4,I,2015-10
79,Цинк и изделия из него,3714.22,8736.9,I,2015-10
80,Олово и изделия из него,83.22,1582.6,I,2015-10
81,Прочие недрагоценные металлы; металлокерамика; изделия из них,311.85,4545.9,I,2015-10
82,"Инструменты, приспособления, ножевые изделия, ложки и вилки из недрагоценных металлов; их части из недрагоценных металлов",6837.97,89845.2,I,2015-10
83,Прочие изделия из недрагоценных металлов,26530.56,113571.6,I,2015-10
84,"Реакторы ядерные, котлы, оборудование и механические устройства; их части",183186.58,2138358.4,I,2015-10
85,"Электрические машины и оборудование, их части; звукозаписывающая и звуковоспроизводящая аппаратура, аппаратура для записи и воспроизведения телевизионного изображения и звука, их части и принадлежности",91804.31,1323894.1,I,2015-10
